Core:  x, status(serv): x, read: x, write: x, addr_in:   x, data_in:   x, data_out:   x, finish: x at 10.
Core: 15, status(serv): 0, read: 0, write: 0, addr_in:  20, data_in: 240, data_out:   x, finish: 0 at 4350.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   4, data_in:  16, data_out:   x, finish: 0 at 4370.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:  20, data_in: 240, data_out:   x, finish: 0 at 4390.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   4, data_in:  16, data_out:   x, finish: 0 at 4410.

Core:  3, status(serv): 0, read: 0, write: 1, addr_in:  13, data_in:  56, data_out:   x, finish: 0 at 4430.

Core:  5, status(serv): 0, read: 0, write: 1, addr_in:  20, data_in:  80, data_out:   x, finish: 0 at 4450.

Core:  6, status(serv): 0, read: 0, write: 1, addr_in:  20, data_in:  96, data_out:   x, finish: 0 at 4470.

Core:  7, status(serv): 0, read: 0, write: 1, addr_in:  20, data_in: 112, data_out:   x, finish: 0 at 4490.

Core:  8, status(serv): 0, read: 0, write: 1, addr_in:  20, data_in: 128, data_out:   x, finish: 0 at 4510.

Core:  9, status(serv): 0, read: 0, write: 1, addr_in:  20, data_in: 144, data_out:   x, finish: 0 at 4530.

Core: 10, status(serv): 0, read: 0, write: 1, addr_in:  20, data_in: 160, data_out:   x, finish: 0 at 4550.

Core: 11, status(serv): 0, read: 0, write: 1, addr_in:  20, data_in: 176, data_out:   x, finish: 0 at 4570.

Core: 12, status(serv): 0, read: 0, write: 1, addr_in:  20, data_in: 192, data_out:   x, finish: 0 at 4590.

Core: 13, status(serv): 1, read: 0, write: 1, addr_in:  20, data_in: 208, data_out:   x, finish: 0 at 4610.

Core: 13, status(serv): 0, read: 0, write: 1, addr_in:  20, data_in: 208, data_out:   x, finish: 1 at 4630.

Core: 14, status(serv): 0, read: 0, write: 1, addr_in:  20, data_in: 224, data_out:   x, finish: 0 at 4650.

